Refernce_Point_Name,Refernce_Point_Latitude,Refernce_Point_Longitude
HSA516,32.846,-2.666
HSA517,32.846,-2.634
HSA518,32.846,-2.602
HSA519,32.846,-2.570
HSA520,32.845,-2.538
HSA523,32.872,-2.631
HSA524,32.873,-2.602
HSA525,32.873,-2.570
HSA529,32.900,-2.633
HSA530,32.900,-2.601
HSA532,32.899,-2.537
HSA535,32.927,-2.633
HSA536,32.927,-2.601
HSA538,32.927,-2.537
HSA541,32.954,-2.633
HSA542,32.954,-2.601
HSA543,32.954,-2.569
HSA544,32.954,-2.537
HSA545,32.953,-2.505
HSA548,32.981,-2.601
HSA549,32.981,-2.569
HSA550,32.981,-2.537
HSA551,32.981,-2.505
HSA552,32.980,-2.473
HSA555,33.008,-2.601
HSA556,33.008,-2.569
HSA557,33.008,-2.537
HSA559,33.008,-2.472
HSA562,33.035,-2.601
HSA563,33.035,-2.569
HSA564,33.035,-2.537
HSA565,33.035,-2.504
HSA566,33.035,-2.472
HSA567,33.034,-2.440
HSA570,33.062,-2.569
HSA571,33.062,-2.538
HSA572,33.062,-2.504
HSA573,33.061,-2.472
HSA574,33.062,-2.440
HSA575,33.061,-2.408
HSA577,33.089,-2.535
HSA578,33.088,-2.504
HSA580,33.089,-2.440
HSA581,33.088,-2.408
HSA582,33.088,-2.375
HSA585,33.116,-2.536
HSA586,33.116,-2.503
HSA587,33.116,-2.472
HSA588,33.116,-2.440
HSA589,33.115,-2.407
HSA590,33.115,-2.375
HSA591,33.115,-2.343
HSA594,33.143,-2.536
HSA595,33.143,-2.504
HSA596,33.143,-2.470
HSA597,33.143,-2.439
HSA598,33.143,-2.407
HSA599,33.142,-2.375
HSA600,33.142,-2.343
LET001,32.643,-2.681
LET002,32.643,-2.650
LET003,32.641,-2.547
LET004,32.642,-2.519
LET005,32.670,-2.842
LET006,32.670,-2.811
LET007,32.670,-2.619
LET008,32.671,-2.586
LET009,32.667,-2.556
LET010,32.670,-2.518
LET011,32.670,-2.489
LET012,32.671,-2.458
LET013,32.670,-2.423
LET014,32.696,-2.813
LET015,32.695,-2.779
LET016,32.697,-2.650
LET017,32.697,-2.618
LET018,32.698,-2.588
LET019,32.697,-2.552
LET020,32.698,-2.523
LET021,32.695,-2.492
LET022,32.697,-2.459
LET023,32.697,-2.425
LET024,32.698,-2.391
LET025,32.723,-2.779
LET026,32.724,-2.748
LET027,32.721,-2.680
LET028,32.721,-2.653
LET029,32.723,-2.618
LET030,32.725,-2.585
LET031,32.723,-2.553
LET032,32.725,-2.521
LET033,32.725,-2.488
LET034,32.751,-2.748
LET035,32.751,-2.718
LET036,32.751,-2.650
LET037,32.750,-2.618
LET038,32.750,-2.586
LET039,32.750,-2.554
LET040,32.752,-2.521
LET041,32.777,-2.715
LET042,32.778,-2.650
LET043,32.778,-2.618
LET044,32.777,-2.588
LET045,32.779,-2.555
LET511,32.656,-2.667
LET512,32.656,-2.634
LET513,32.656,-2.602
LET514,32.657,-2.570
LET515,32.657,-2.540
LET516,32.654,-2.508
LET517,32.656,-2.475
LET521,32.685,-2.825
LET522,32.684,-2.794
LET525,32.683,-2.634
LET526,32.683,-2.602
LET527,32.683,-2.570
LET528,32.683,-2.538
LET529,32.683,-2.506
LET530,32.683,-2.474
LET531,32.683,-2.442
LET532,32.682,-2.410
LET535,32.711,-2.794
LET536,32.711,-2.762
LET539,32.710,-2.666
LET540,32.710,-2.634
LET541,32.710,-2.602
LET542,32.710,-2.570
LET543,32.710,-2.538
LET544,32.710,-2.506
LET545,32.710,-2.474
LET546,32.710,-2.442
LET550,32.738,-2.762
LET551,32.738,-2.730
LET553,32.738,-2.666
LET554,32.737,-2.634
LET555,32.737,-2.602
LET556,32.737,-2.570
LET557,32.737,-2.538
LET558,32.737,-2.506
LET561,32.765,-2.730
LET562,32.765,-2.698
LET564,32.765,-2.631
LET565,32.764,-2.602
LET566,32.764,-2.570
LET567,32.764,-2.538
LET570,32.792,-2.698
LET571,32.792,-2.666
LET572,32.792,-2.634
LET573,32.792,-2.603
LET574,32.791,-2.570
LET575,32.791,-2.538
MAT021,33.434,-2.794
MAT022,33.430,-2.759
MAT023,33.432,-2.729
MAT024,33.433,-2.698
MAT025,33.430,-2.669
MAT026,33.432,-2.634
MAT028,33.431,-2.571
MAT029,33.434,-2.538
MAT030,33.460,-2.792
MAT031,33.458,-2.760
MAT032,33.459,-2.728
MAT033,33.460,-2.696
MAT034,33.460,-2.666
MAT035,33.460,-2.633
MAT036,33.460,-2.601
MAT037,33.458,-2.571
MAT038,33.460,-2.538
MAT039,33.461,-2.504
MAT054,33.486,-2.824
MAT055,33.486,-2.791
MAT057,33.490,-2.729
MAT058,33.488,-2.696
MAT059,33.486,-2.666
MAT060,33.486,-2.632
MAT061,33.486,-2.601
MAT062,33.485,-2.571
MAT063,33.486,-2.538
